Zip,Territory,Region
35473,AL BIRMINGHAM,SOUTH
10019,NY MANHATTAN,NORTH
44281,PA PITTSBURGH,EAST
93534,CA CENTRAL,WEST
45005,KY LOUISVILLE,EAST
40906,TN KNOXVILLE,CENTRAL
76244,TX FORT WORTH,CENTRAL
33609,FL TAMPA,SOUTH
92683,CA IRVINE,WEST
48072,MI DETROIT,EAST
74055,OK OKLAHOMA CITY,CENTRAL
19506,PA PHILADELPHIA SOUTH,NORTH
19454,PA PHILADELPHIA NORTH,NORTH
46514,IN INDIANAPOLIS NORTH,EAST
20904,MD BETHESDA SOUTH,EAST
81301,CO SOUTH,WEST
31078,GA ATLANTA SOUTH,SOUTH
22911,VA ALEXANDRIA,EAST
11004,NY LONG ISLAND WEST,NORTH
25304,KY LOUISVILLE,EAST
28714,SC GREENVILLE,SOUTH
19718,PA PHILADELPHIA SOUTH,NORTH
37076,TN NASHVILLE,CENTRAL
48302,MI DETROIT,EAST
27804,NC RALEIGH,EAST
84790,NV LAS VEGAS,WEST
80220,CO SOUTH,WEST
2114,CT HARTFORD,EAST
10314,NJ NORTHERN,NORTH
31520,FL JACKSONVILLE,SOUTH
37919,TN KNOXVILLE,CENTRAL
92835,CA IRVINE,WEST
23223,VA ALEXANDRIA,EAST
33487,FL WEST PALM BEACH,SOUTH
80011,CO SOUTH,WEST
60422,IN INDIANAPOLIS NORTH,EAST
10016,NY MANHATTAN,NORTH
30909,SC GREENVILLE,SOUTH
37660,TN KNOXVILLE,CENTRAL
11234,NY BROOKLYN,NORTH
28546,NC WILMINGTON,EAST
34452,FL TALLAHASSEE,SOUTH
76067,TX FORT WORTH,CENTRAL
90048,CA LOS ANGELES NORTH,WEST
10583,NY BRONX,NORTH
32073,FL JACKSONVILLE,SOUTH
6360,CT HARTFORD,EAST
20707,MD BETHESDA SOUTH,EAST
10023,NY MANHATTAN,NORTH
22079,VA ALEXANDRIA,EAST
94553,CA SAN FRANCISCO EAST,WEST
33777,FL TAMPA,SOUTH
77081,TX HOUSTON NORTH,CENTRAL
48532,MI DETROIT,EAST
48180,MI DETROIT,EAST
10595,NY WESTCHESTER,EAST
6518,CT BRIDGEPORT,EAST
33542,FL TAMPA,SOUTH
95301,CA SAN JOSE,WEST
11413,NY LONG ISLAND WEST,NORTH
2062,CT HARTFORD,EAST
15224,PA PITTSBURGH,EAST
27377,NC RALEIGH,EAST
87114,TX EL PASO,CENTRAL
60453,IN INDIANAPOLIS NORTH,EAST
22042,VA ALEXANDRIA,EAST
30024,GA ATLANTA NORTH,SOUTH
60050,IN INDIANAPOLIS NORTH,EAST
94015,CA SAN FRANCISCO EAST,WEST
46322,IN INDIANAPOLIS NORTH,EAST
33579,FL TAMPA,SOUTH
95341,CA SAN JOSE,WEST
32605,FL TALLAHASSEE,SOUTH
8103,NJ SOUTHERN,NORTH
92651,CA IRVINE,WEST
22046,VA ALEXANDRIA,EAST
85234,AZ ARIZONA,WEST
92571,CA RIVERSIDE,WEST
6074,CT HARTFORD,EAST
29483,FL JACKSONVILLE,SOUTH
60462,IN INDIANAPOLIS NORTH,EAST
35209,AL BIRMINGHAM,SOUTH
87701,TX EL PASO,CENTRAL
21502,MD BETHESDA SOUTH,EAST
11420,NY QUEENS,NORTH
28560,NC WILMINGTON,EAST
22310,VA ALEXANDRIA,EAST
8221,NJ SOUTHERN,NORTH
92130,CA SAN DIEGO,WEST
8837,NJ CENTRAL,NORTH
70570,LA NEW ORLEANS,SOUTH
95008,CA SAN JOSE,WEST
90701,CA LONG BEACH,WEST
49546,MI DETROIT,EAST
48109,MI DETROIT,EAST
91710,CA IRVINE,WEST
94901,CA SAN FRANCISCO EAST,WEST
28052,NC CHARLOTTE,SOUTH
40202,KY LOUISVILLE,EAST
85251,AZ ARIZONA,WEST
49017,MI DETROIT,EAST
90025,CA LONG BEACH,WEST
42003,KY LOUISVILLE,EAST
32340,FL TALLAHASSEE,SOUTH
20016,MD BETHESDA SOUTH,EAST
10022,NY MANHATTAN,NORTH
93710,CA CENTRAL,WEST
27565,NC RALEIGH,EAST
79606,TX FORT WORTH,CENTRAL
7302,NJ NORTHERN,NORTH
30125,GA ATLANTA NORTH,SOUTH
94002,CA SAN JOSE,WEST
7840,NJ HACKENSACK,NORTH
68123,MO KANSAS CITY,CENTRAL
6082,CT HARTFORD,EAST
60126,IN INDIANAPOLIS NORTH,EAST
75069,TX IRVING,CENTRAL
10468,NY BRONX,NORTH
38138,TN NASHVILLE,CENTRAL
36442,AL BIRMINGHAM,SOUTH
95948,CA SACRAMENTO,WEST
10128,NY MANHATTAN,NORTH
93551,CA CENTRAL,WEST
31768,GA ATLANTA SOUTH,SOUTH
31703,GA ATLANTA SOUTH,SOUTH
27405,NC RALEIGH,EAST
95382,CA SAN JOSE,WEST
94556,CA SAN FRANCISCO EAST,WEST
28328,NC WILMINGTON,EAST
90277,CA LONG BEACH,WEST
75904,TX DALLAS,CENTRAL
40422,KY LOUISVILLE,EAST
6905,NY WESTCHESTER,EAST
91913,CA SAN DIEGO,WEST
14618,NY BUFFALO,EAST
8080,NJ SOUTHERN,NORTH
92618,CA IRVINE,WEST
30076,GA ATLANTA NORTH,SOUTH
60631,IN INDIANAPOLIS NORTH,EAST
19320,PA PHILADELPHIA SOUTH,NORTH
91763,CA IRVINE,WEST
66210,MO KANSAS CITY,CENTRAL
85225,AZ ARIZONA,WEST
20619,MD BETHESDA SOUTH,EAST
60169,IN INDIANAPOLIS NORTH,EAST
92653,CA IRVINE,WEST
70458,LA NEW ORLEANS,SOUTH
64080,MO KANSAS CITY,CENTRAL
60901,IN INDIANAPOLIS NORTH,EAST
32025,FL TALLAHASSEE,SOUTH
46996,IN INDIANAPOLIS NORTH,EAST
75246,TX DALLAS,CENTRAL
